symbol	gene	description	original_symbol	ASD_high_conf	EPI_high_conf	CHD_high_conf	ASD_DNV	EPI_DNV	CHD_DNV	matches
BMP6	654	bone morphogenetic protein 6	BMP6	0	0	0	0	0	1	
BMS1	9790	"BMS1, ribosome biogenesis factor"	BMS1	0	0	0	0	1	0	
BNC1	646	basonuclin 1	BNC1	0	0	0	1	0	0	
BNIP1	662	BCL2 interacting protein 1	BNIP1	0	0	0	1	0	0	
BRCA1	672	"BRCA1, DNA repair associated"	BRCA1	0	0	0	1	0	0	
BRF1	2972	"BRF1, RNA polymerase III transcription initiation factor subunit"	BRF1	0	0	0	0	0	1	
BRF2	55290	"BRF2, RNA polymerase III transcription initiation factor subunit"	BRF2	0	0	0	1	0	0	
BRPF1	7862	bromodomain and PHD finger containing 1	BRPF1	0	0	0	1	0	0	
BRWD1	54014	bromodomain and WD repeat domain containing 1	BRWD1	0	0	0	1	0	0	
BST2	684	bone marrow stromal cell antigen 2	BST2	0	0	0	1	0	0	
BTAF1	9044	B-TFIID TATA-box binding protein associated factor 1	BTAF1	0	0	0	1	0	0	
BTBD2	55643	BTB domain containing 2	BTBD2	0	0	0	1	0	0	
BTBD9	114781	BTB domain containing 9	BTBD9	0	0	0	1	0	0	
BTN1A1	696	butyrophilin subfamily 1 member A1	BTN1A1	0	0	0	1	0	0	
C10orf90	118611	chromosome 10 open reading frame 90	C10orf90	0	0	0	1	0	0	
C11orf24	53838	chromosome 11 open reading frame 24	C11orf24	0	0	0	1	0	0	
C15orf62	643338	chromosome 15 open reading frame 62	C15orf62	0	0	0	1	0	0	
METTL26	84326	methyltransferase like 26	C16orf13	0	0	0	1	0	0	DIF
C17orf53	78995	chromosome 17 open reading frame 53	C17orf53	0	0	0	0	1	0	
WDR98	29919	WD repeat domain 98	C18orf8	0	0	0	0	0	1	DIF
C1QTNF6	114904	C1q and TNF related 6	C1QTNF6	0	0	0	0	1	0	
C1orf56	54964	chromosome 1 open reading frame 56	C1orf56	0	0	0	0	1	0	
C21orf2	755	chromosome 21 open reading frame 2	C21orf2	0	0	0	1	0	0	
TRMO	51531	tRNA methyltransferase O	C9orf156	0	0	0	1	0	0	DIF
CA13	377677	carbonic anhydrase 13	CA13	0	0	0	0	0	1	
CA3	761	carbonic anhydrase 3	CA3	0	0	0	1	0	0	
CACNA1A	773	calcium voltage-gated channel subunit alpha1 A	CACNA1A	0	0	0	0	0	1	
CACNA1C	775	calcium voltage-gated channel subunit alpha1 C	CACNA1C	0	0	0	1	0	1	
CACNA1D	776	calcium voltage-gated channel subunit alpha1 D	CACNA1D	0	0	0	1	0	0	
CACNA1E	777	calcium voltage-gated channel subunit alpha1 E	CACNA1E	0	0	0	1	1	0	
CACNA1G	8913	calcium voltage-gated channel subunit alpha1 G	CACNA1G	0	0	0	1	0	0	
CACNA1H	8912	calcium voltage-gated channel subunit alpha1 H	CACNA1H	0	0	0	1	0	1	
CACNA2D3	55799	calcium voltage-gated channel auxiliary subunit alpha2delta 3	CACNA2D3	0	0	0	1	0	0	
CAD	790	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	CAD	0	0	1	0	0	1	
CADPS	8618	calcium dependent secretion activator	CADPS	0	0	0	0	0	1	
CAMK2A	815	calcium/calmodulin dependent protein kinase II alpha	CAMK2A	0	0	0	1	0	0	
CAPN12	147968	calpain 12	CAPN12	1	0	0	1	0	0	
CAPN8	388743	calpain 8	CAPN8	0	0	0	1	0	0	
NAXD	55739	NAD(P)HX dehydratase	CARKD	0	0	0	1	0	0	DIF
CASP8AP2	9994	caspase 8 associated protein 2	CASP8AP2	0	0	0	1	0	0	
CAT	847	catalase	CAT	0	0	0	1	0	0	
CATSPERG	57828	cation channel sperm associated auxiliary subunit gamma	CATSPERG	0	0	0	0	0	1	
CBL	867	Cbl proto-oncogene	CBL	0	0	0	1	0	0	
CBX4	8535	chromobox 4	CBX4	0	0	0	1	0	0	
CC2D1A	54862	coiled-coil and C2 domain containing 1A	CC2D1A	0	0	0	1	0	0	
CCDC171	203238	coiled-coil domain containing 171	CCDC171	0	0	0	1	0	0	
CCDC28B	79140	coiled-coil domain containing 28B	CCDC28B	0	0	0	1	0	0	
CCDC66	285331	coiled-coil domain containing 66	CCDC66	0	0	0	1	0	0	
CCDC87	55231	coiled-coil domain containing 87	CCDC87	0	0	0	1	0	0	
CCNJL	79616	cyclin J like	CCNJL	0	0	0	1	0	0	
CCPG1	9236	cell cycle progression 1	CCPG1	0	0	0	1	0	0	
CCR2	729230	C-C motif chemokine receptor 2	CCR2	0	0	0	0	0	1	
CCT4	10575	chaperonin containing TCP1 subunit 4	CCT4	0	0	0	1	0	0	
CCT6B	10693	chaperonin containing TCP1 subunit 6B	CCT6B	0	0	0	1	0	0	
CD151	977	CD151 molecule (Raph blood group)	CD151	0	0	0	1	0	0	
CD1C	911	CD1c molecule	CD1C	0	0	0	0	0	1	
CDAN1	146059	codanin 1	CDAN1	0	0	0	1	0	0	
CDC23	8697	cell division cycle 23	CDC23	0	0	0	1	0	0	
CDC27	996	cell division cycle 27	CDC27	0	0	0	1	0	0	
CDC42	998	cell division cycle 42	CDC42	0	0	0	0	0	1	
CDC42BPB	9578	CDC42 binding protein kinase beta	CDC42BPB	0	0	0	1	0	0	
CDH13	1012	cadherin 13	CDH13	0	0	0	1	0	0	
CDK13	8621	cyclin dependent kinase 13	CDK13	0	0	0	1	0	1	
CDKL2	8999	cyclin dependent kinase like 2	CDKL2	0	0	0	0	0	1	
CDKL5	6792	cyclin dependent kinase like 5	CDKL5	0	1	0	0	1	0	
CDS2	8760	CDP-diacylglycerol synthase 2	CDS2	0	0	0	0	1	0	
CEBPG	1054	CCAAT/enhancer binding protein gamma	CEBPG	0	0	0	1	0	0	
CELSR1	9620	cadherin EGF LAG seven-pass G-type receptor 1	CELSR1	0	0	0	0	1	0	
CEP95	90799	centrosomal protein 95	CEP95	0	0	0	0	0	1	
CHD1	1105	chromodomain helicase DNA binding protein 1	CHD1	0	0	0	1	0	0	
CHD2	1106	chromodomain helicase DNA binding protein 2	CHD2	1	1	0	1	1	0	
CHD3	1107	chromodomain helicase DNA binding protein 3	CHD3	0	0	0	1	0	0	
CHD4	1108	chromodomain helicase DNA binding protein 4	CHD4	0	0	1	1	0	1	
CHD7	55636	chromodomain helicase DNA binding protein 7	CHD7	0	0	1	1	0	1	
CHD8	57680	chromodomain helicase DNA binding protein 8	CHD8	1	0	0	1	0	0	
CHRND	1144	cholinergic receptor nicotinic delta subunit	CHRND	0	0	0	1	0	0	
CHSY1	22856	chondroitin sulfate synthase 1	CHSY1	0	0	0	1	0	0	
CIC	23152	capicua transcriptional repressor	CIC	0	0	0	1	0	0	
CLASP1	23332	cytoplasmic linker associated protein 1	CLASP1	0	0	0	1	0	0	
CLUH	23277	clustered mitochondria homolog	CLUH	0	0	0	0	0	1	
CMPK2	129607	cytidine/uridine monophosphate kinase 2	CMPK2	0	0	0	1	0	0	
CNOT1	23019	CCR4-NOT transcription complex subunit 1	CNOT1	0	0	0	1	0	1	
CNOT3	4849	CCR4-NOT transcription complex subunit 3	CNOT3	0	0	0	1	0	0	
CNOT4	4850	CCR4-NOT transcription complex subunit 4	CNOT4	0	0	0	1	0	0	
CNOT6	57472	CCR4-NOT transcription complex subunit 6	CNOT6	0	0	0	1	0	0	
CNTN5	53942	contactin 5	CNTN5	0	0	0	0	1	0	
COL25A1	84570	collagen type XXV alpha 1 chain	COL25A1	0	0	0	1	0	0	
COL4A1	1282	collagen type IV alpha 1 chain	COL4A1	0	0	0	0	0	1	
COL4A2	1284	collagen type IV alpha 2 chain	COL4A2	0	0	0	0	0	1	
COL4A3	1285	collagen type IV alpha 3 chain	COL4A3	0	0	0	0	0	1	
COL4A3BP	10087	collagen type IV alpha 3 binding protein	COL4A3BP	0	0	0	1	0	0	
COL5A3	50509	collagen type V alpha 3 chain	COL5A3	0	0	0	1	0	0	
COL6A6	131873	collagen type VI alpha 6 chain	COL6A6	0	0	0	1	0	0	
COL7A1	1294	collagen type VII alpha 1 chain	COL7A1	0	0	0	0	0	1	
COLGALT1	79709	collagen beta(1-O)galactosyltransferase 1	COLGALT1	0	0	0	0	0	1	
COPA	1314	coatomer protein complex subunit alpha	COPA	0	0	0	0	0	1	
COPB2	9276	coatomer protein complex subunit beta 2	COPB2	0	0	0	0	0	1	
COQ3	51805	"coenzyme Q3, methyltransferase"	COQ3	0	0	0	0	0	1	
CORIN	10699	"corin, serine peptidase"	CORIN	0	0	0	0	0	1	
COX18	285521	"COX18, cytochrome c oxidase assembly factor"	COX18	0	0	0	0	0	1	
CPAMD8	27151	"C3 and PZP like, alpha-2-macroglobulin domain containing 8"	CPAMD8	0	0	0	1	0	0	
CPD	1362	carboxypeptidase D	CPD	0	0	0	1	0	0	
CPT1C	126129	carnitine palmitoyltransferase 1C	CPT1C	0	0	0	1	0	0	
CREBBP	1387	CREB binding protein	CREBBP	0	0	0	1	0	0	
CRHR1	1394	corticotropin releasing hormone receptor 1	CRHR1	0	0	0	1	0	0	
CRTAC1	55118	cartilage acidic protein 1	CRTAC1	0	0	0	0	1	0	
CRY2	1408	cryptochrome circadian regulator 2	CRY2	0	0	0	1	0	0	
CSAD	51380	cysteine sulfinic acid decarboxylase	CSAD	0	0	0	1	0	0	
CSDE1	7812	cold shock domain containing E1	CSDE1	0	0	0	1	0	0	
CSMD1	64478	CUB and Sushi multiple domains 1	CSMD1	0	0	0	1	0	0	
CSMD2	114784	CUB and Sushi multiple domains 2	CSMD2	0	0	0	1	0	0	
CSNK1E	1454	casein kinase 1 epsilon	CSNK1E	0	0	0	0	1	0	
CSNK2A1	1457	casein kinase 2 alpha 1	CSNK2A1	0	0	0	1	0	0	
CSTF2T	23283	cleavage stimulation factor subunit 2 tau variant	CSTF2T	0	0	0	1	0	0	
CTBP2	1488	C-terminal binding protein 2	CTBP2	0	0	0	0	0	1	
CTCF	10664	CCCTC-binding factor	CTCF	0	0	0	1	0	0	
CTNNA3	29119	catenin alpha 3	CTNNA3	0	0	0	1	0	0	
CTNNB1	1499	catenin beta 1	CTNNB1	0	0	0	1	0	1	
CTNNBIP1	56998	catenin beta interacting protein 1	CTNNBIP1	0	0	0	0	0	1	
CTR9	9646	"CTR9 homolog, Paf1/RNA polymerase II complex component"	CTR9	0	0	0	0	0	1	
CTTNBP2	83992	cortactin binding protein 2	CTTNBP2	1	0	0	1	0	0	
CUBN	8029	cubilin	CUBN	0	0	0	1	0	0	
CUL3	8452	cullin 3	CUL3	1	0	0	1	0	1	
CUL4B	8450	cullin 4B	CUL4B	0	0	0	0	0	1	
CUL5	8065	cullin 5	CUL5	0	0	0	1	0	0	
CUX2	23316	cut like homeobox 2	CUX2	0	0	0	0	1	0	
CYP21A2	1589	cytochrome P450 family 21 subfamily A member 2	CYP21A2	0	0	0	0	0	1	
CYP27C1	339761	cytochrome P450 family 27 subfamily C member 1	CYP27C1	0	0	0	1	0	0	
CYP3A4	1576	cytochrome P450 family 3 subfamily A member 4	CYP3A4	0	0	0	0	0	1	
DBR1	51163	debranching RNA lariats 1	DBR1	0	0	0	1	0	0	
DCAF11	80344	DDB1 and CUL4 associated factor 11	DCAF11	0	0	0	1	0	0	
DCDC2B	149069	doublecortin domain containing 2B	DCDC2B	0	0	0	1	0	0	
DCLK1	9201	doublecortin like kinase 1	DCLK1	0	0	0	1	0	0	
DCUN1D3	123879	defective in cullin neddylation 1 domain containing 3	DCUN1D3	0	0	0	1	0	0	
DCX	1641	doublecortin	DCX	0	0	0	0	1	0	
DDX23	9416	DEAD-box helicase 23	DDX23	0	0	0	1	0	0	
DDX3X	1654	"DEAD-box helicase 3, X-linked"	DDX3X	0	0	0	1	0	0	
DDX50	79009	DExD-box helicase 50	DDX50	0	0	0	1	0	0	
DDX60	55601	DExD/H-box helicase 60	DDX60	0	0	0	1	0	0	
DGCR2	9993	DiGeorge syndrome critical region gene 2	DGCR2	0	0	0	0	0	1	
DGKA	1606	diacylglycerol kinase alpha	DGKA	0	0	0	0	0	1	
DGUOK	1716	deoxyguanosine kinase	DGUOK	0	0	0	0	0	1	
DHDDS	79947	dehydrodolichyl diphosphate synthase subunit	DHDDS	0	0	0	0	1	0	
DHX29	54505	DExH-box helicase 29	DHX29	0	0	0	1	0	0	
DHX9	1660	DExH-box helicase 9	DHX9	0	0	0	1	0	0	
DIDO1	11083	death inducer-obliterator 1	DIDO1	0	0	0	1	0	0	
DIP2A	23181	disco interacting protein 2 homolog A	DIP2A	1	0	0	1	0	0	
DIP2C	22982	disco interacting protein 2 homolog C	DIP2C	0	0	0	1	1	0	
DISP1	84976	dispatched RND transporter family member 1	DISP1	0	0	0	0	1	1	
DLL1	28514	delta like canonical Notch ligand 1	DLL1	0	0	0	1	0	0	
DLX3	1747	distal-less homeobox 3	DLX3	0	0	0	1	0	0	
DMBX1	127343	diencephalon/mesencephalon homeobox 1	DMBX1	0	0	0	0	0	1	
DNAH17	8632	dynein axonemal heavy chain 17	DNAH17	0	0	0	1	0	0	
DNAH5	1767	dynein axonemal heavy chain 5	DNAH5	0	0	0	1	0	0	
DNAH7	56171	dynein axonemal heavy chain 7	DNAH7	0	0	0	1	0	0	
DNAJB1	3337	DnaJ heat shock protein family (Hsp40) member B1	DNAJB1	0	0	0	0	0	1	
DNAJB6	10049	DnaJ heat shock protein family (Hsp40) member B6	DNAJB6	0	0	0	1	0	0	
DNAJB9	4189	DnaJ heat shock protein family (Hsp40) member B9	DNAJB9	0	0	0	1	0	0	
DNAJC13	23317	DnaJ heat shock protein family (Hsp40) member C13	DNAJC13	0	0	0	0	0	1	
DNAJC6	9829	DnaJ heat shock protein family (Hsp40) member C6	DNAJC6	0	0	0	0	1	0	
DNM1	1759	dynamin 1	DNM1	0	1	0	0	1	0	
DNM1L	10059	dynamin 1 like	DNM1L	0	0	0	0	0	1	
DNM3	26052	dynamin 3	DNM3	0	0	0	0	0	1	
DNMT3A	1788	DNA methyltransferase 3 alpha	DNMT3A	1	0	0	1	0	0	
DOCK4	9732	dedicator of cytokinesis 4	DOCK4	0	0	0	0	0	1	
DOCK5	80005	dedicator of cytokinesis 5	DOCK5	0	0	0	1	0	0	
DOCK7	85440	dedicator of cytokinesis 7	DOCK7	0	0	0	1	0	0	
DOHH	83475	deoxyhypusine hydroxylase	DOHH	0	0	0	1	0	0	
DOT1L	84444	DOT1 like histone lysine methyltransferase	DOT1L	0	0	0	1	0	0	
DPP6	1804	dipeptidyl peptidase like 6	DPP6	0	0	0	1	0	0	
DPYD	1806	dihydropyrimidine dehydrogenase	DPYD	0	0	0	0	0	1	
DSCAM	1826	DS cell adhesion molecule	DSCAM	1	0	0	1	0	0	
DSCAML1	57453	DS cell adhesion molecule like 1	DSCAML1	0	0	0	1	0	0	
DSG2	1829	desmoglein 2	DSG2	0	0	0	0	0	1	
DSG3	1830	desmoglein 3	DSG3	0	0	0	1	0	0	
DST	667	dystonin	DST	0	0	0	1	0	0	
DTNA	1837	dystrobrevin alpha	DTNA	0	0	1	0	0	1	
DUOX2	50506	dual oxidase 2	DUOX2	0	0	0	1	0	0	
DUS1L	64118	dihydrouridine synthase 1 like	DUS1L	0	0	0	1	0	0	
DUSP14	11072	dual specificity phosphatase 14	DUSP14	0	0	0	1	0	0	
DVL3	1857	dishevelled segment polarity protein 3	DVL3	0	0	0	1	0	1	
DYNC1H1	1778	dynein cytoplasmic 1 heavy chain 1	DYNC1H1	0	0	0	1	0	0	
DYRK1A	1859	dual specificity tyrosine phosphorylation regulated kinase 1A	DYRK1A	1	0	0	1	0	0	
DYSF	8291	dysferlin	DYSF	0	0	0	1	0	0	
EBAG9	9166	"estrogen receptor binding site associated, antigen, 9"	EBAG9	0	0	0	1	0	0	
ECE1	1889	endothelin converting enzyme 1	ECE1	0	0	0	1	0	0	
ECI1	1632	enoyl-CoA delta isomerase 1	ECI1	0	0	0	0	0	1	
ECM2	1842	extracellular matrix protein 2	ECM2	0	0	0	1	0	0	
EEPD1	80820	endonuclease/exonuclease/phosphatase family domain containing 1	EEPD1	0	0	0	0	0	1	
EFCAB5	374786	EF-hand calcium binding domain 5	EFCAB5	0	0	0	1	0	0	
EFR3A	23167	EFR3 homolog A	EFR3A	0	0	0	1	0	0	
EIF2AK2	5610	eukaryotic translation initiation factor 2 alpha kinase 2	EIF2AK2	0	0	0	1	0	0	
EIF4A2	1974	eukaryotic translation initiation factor 4A2	EIF4A2	0	0	0	0	0	1	
EIF4G1	1981	eukaryotic translation initiation factor 4 gamma 1	EIF4G1	0	0	0	1	0	0	
EIF4G2	1982	eukaryotic translation initiation factor 4 gamma 2	EIF4G2	0	0	0	1	0	0	
EIF5B	9669	eukaryotic translation initiation factor 5B	EIF5B	0	0	0	0	0	1	
ELAC2	60528	elaC ribonuclease Z 2	ELAC2	0	0	0	0	0	1	
ELAVL2	1993	ELAV like RNA binding protein 2	ELAVL2	0	0	0	1	0	0	
ELAVL3	1995	ELAV like RNA binding protein 3	ELAVL3	0	0	0	1	0	0	
EMILIN3	90187	elastin microfibril interfacer 3	EMILIN3	0	0	0	0	1	0	
ENPP2	5168	ectonucleotide pyrophosphatase/phosphodiesterase 2	ENPP2	0	0	0	1	0	0	
EP300	2033	E1A binding protein p300	EP300	0	0	0	0	0	1	
EP400	57634	E1A binding protein p400	EP400	0	0	0	1	0	0	
EPHB1	2047	EPH receptor B1	EPHB1	0	0	0	1	0	0	
EPHB2	2048	EPH receptor B2	EPHB2	0	0	0	1	0	0	
SELENOI	85465	selenoprotein I	EPT1	0	0	0	0	0	1	DIF
ERBIN	55914	erbb2 interacting protein	ERBB2IP	1	0	0	0	0	0	DIF
ERG	2078	"ERG, ETS transcription factor"	ERG	0	0	0	0	1	0	
ETFB	2109	electron transfer flavoprotein beta subunit	ETFB	1	0	0	1	0	0	
ETNK2	55224	ethanolamine kinase 2	ETNK2	0	0	0	0	1	0	
ETS1	2113	"ETS proto-oncogene 1, transcription factor"	ETS1	0	0	0	0	1	1	
FAF2	23197	Fas associated factor family member 2	FAF2	0	0	0	1	0	0	
FAM102A	399665	family with sequence similarity 102 member A	FAM102A	0	0	0	0	1	0	
FAM110B	90362	family with sequence similarity 110 member B	FAM110B	0	0	0	0	0	1	
FAM168B	130074	family with sequence similarity 168 member B	FAM168B	0	0	0	1	0	0	
FAM174B	400451	family with sequence similarity 174 member B	FAM174B	0	0	0	0	0	1	
FAM200B	285550	family with sequence similarity 200 member B	FAM200B	0	0	0	1	0	0	
FAM45A	404636	family with sequence similarity 45 member A	FAM45A	0	0	0	1	0	0	
FAM46A	55603	family with sequence similarity 46 member A	FAM46A	0	0	0	0	0	1	
MINDY2	54629	MINDY lysine 48 deubiquitinase 2	FAM63B	0	0	0	0	1	0	DIF
FAM72A	729533	family with sequence similarity 72 member A	FAM72A	0	0	0	0	0	1	
